[2021-01-27 16:06:47] |FATAL  | [main.go line: 33 >> FileTest] console 
[2021-01-27 16:06:48] |FATAL  | [main.go line: 33 >> FileTest] console 
[2021-01-27 16:06:48] |FATAL  | [main.go line: 33 >> FileTest] console 
[2021-01-27 16:06:49] |FATAL  | [main.go line: 33 >> FileTest] console 
[2021-01-27 16:06:49] |FATAL  | [main.go line: 33 >> FileTest] console 
[2021-01-27 16:06:50] |FATAL  | [main.go line: 33 >> FileTest] console 
[2021-01-27 16:06:50] |FATAL  | [main.go line: 33 >> FileTest] console 
[2021-01-27 16:06:51] |FATAL  | [main.go line: 33 >> FileTest] console 
[2021-01-27 16:06:51] |FATAL  | [main.go line: 33 >> FileTest] console 
[2021-01-27 16:06:52] |FATAL  | [main.go line: 33 >> FileTest] console 
[2021-01-27 16:06:52] |FATAL  | [main.go line: 33 >> FileTest] console 
[2021-01-27 16:06:53] |FATAL  | [main.go line: 33 >> FileTest] console 
[2021-01-27 16:06:53] |FATAL  | [main.go line: 33 >> FileTest] console 
[2021-01-27 16:06:54] |FATAL  | [main.go line: 33 >> FileTest] console 
[2021-01-27 16:06:54] |FATAL  | [main.go line: 33 >> FileTest] console 
