[2021-01-28 14:24:23] |FATAL  | [main.go line: 33 >> FileTest] console 
[2021-01-28 14:24:24] |FATAL  | [main.go line: 33 >> FileTest] console 
[2021-01-28 14:24:24] |FATAL  | [main.go line: 33 >> FileTest] console 
[2021-01-28 14:24:25] |FATAL  | [main.go line: 33 >> FileTest] console 
[2021-01-28 14:24:25] |FATAL  | [main.go line: 33 >> FileTest] console 
[2021-01-28 14:24:26] |FATAL  | [main.go line: 33 >> FileTest] console 
[2021-01-28 14:24:26] |FATAL  | [main.go line: 33 >> FileTest] console 
[2021-01-28 14:24:27] |FATAL  | [main.go line: 33 >> FileTest] console 
[2021-01-28 14:24:27] |FATAL  | [main.go line: 33 >> FileTest] console 
[2021-01-28 14:24:28] |FATAL  | [main.go line: 33 >> FileTest] console 
[2021-01-28 14:24:28] |FATAL  | [main.go line: 33 >> FileTest] console 
